id,question
304QEQWK0TZEMH3M587E12ZXKR7O0P,Are you looking for a bike that is great for climbing hills
30F94FBDOVZVJWB4Z5Q2FT13A3LTB2,Are you looking for a snow shovel that is great for scraping up the tracks left by our vehicles
30OITAWPCUIMQU5C1RVHA43PB9OH97,Are you looking for a espresso machine that is great for frothing
30QQTY5GNOZNHXN3MT4WFN19AR27UM,Are you looking for a bird feeder that is great for feeding
30UZJB2PPLROVZW1JGTYUUXD68N35V,Are you looking for a bike that is great for tuning it up
30UZJB2PPLROVZW1JGTYUUXD68N53X,Are you looking for a bird feeder that is great for clinging birds only (one of the only feeders  i found with larger capacity) since it has no posts for perching -- which house finches do like
30Y6N4AHZTBBIEWW9CCDA4OLP30RDU,Are you looking for a blender that is great for making my daily smoothies
311HQEI8SWV43WHDSG34WFGOC9H7ZB,Are you looking for a espresso machine that is great for making single delicious cup of coffee
3126F2F5GCIVY7UHSFJ8BR6ROXEPEU,Are you looking for a snow shovel that is great for getting into tight places
31HLTCK4CPA6N5N4KMIVHMGLN1TVG1,Are you looking for a ski jacket that is great for packing in my luggage and take up minimal space in the messenger bag i carry with me during the work day
31ODACBEOYUH820ETNI20D0GTCRSQQ,Are you looking for a birdhouse that is great for nesting birds
31YWE12TF4RFY1HYRYFJZU0D49J7XE,Are you looking for a espresso machine that is great for steaming or just getting a hot water for an americana
322ZSN9Z6KZBYXQVKQGF7FVX0B54T8,Are you looking for a espresso machine that is great for frothing milk
324N5FAHT1QBPRJNAD3AFE8EUIAVK4,Are you looking for a bird feeder that is great for watching the birds eating while they are unaware we are watching
329E6HTMT0HRDIH4Q3X4WJGV2Q13KI,Are you looking for a tent that is great for something a little more light weight
32CXT5U15KIRHBSMWYW2TNX4LB7U8V,Are you looking for a tent that is great for backpacking
32K26U12ER33BLDDIWHNB1DO91WVDT,Are you looking for a birdhouse that is great for cleaning is easy
32LAQ1JNUD4AFVKAZW7XKJTRZOSTUJ,Are you looking for a tent that is great for crying out loud
32PT7WK7EQUJZCBUYMBHS6L5JPL3D3,Are you looking for a ski jacket that is great for layering
334ZEL5JYAUENQNYEAQYB85GEB9SOI,Are you looking for a birdhouse that is great for housing at least a couple birds
335VBRURENFA6KEABQNBP16CJTW9EJ,Are you looking for a walk-behind lawnmower that is great for cutting weeds and small bushes
